"","Var1","Var2","E"
"1",-3,-3,8.27438496915572
"2",-2.94957983193277,-3,7.46852717528689
"3",-2.89915966386555,-3,7.40890884194254
"4",-2.84873949579832,-3,8.04114138539295
"5",-2.79831932773109,-3,7.51473112026866
"6",-2.74789915966387,-3,7.66522366664822
"7",-2.69747899159664,-3,7.516070534571
"8",-2.64705882352941,-3,7.39620392979749
"9",-2.59663865546218,-3,7.64065769935994
"10",-2.54621848739496,-3,7.86657146185012
"11",-2.49579831932773,-3,7.47123666582661
"12",-2.4453781512605,-3,7.21762610311246
"13",-2.39495798319328,-3,7.49114567414234
"14",-2.34453781512605,-3,7.13364478092428
"15",-2.29411764705882,-3,8.34335238184764
"16",-2.2436974789916,-3,7.06762369726154
"17",-2.19327731092437,-3,8.67574349755542
"18",-2.14285714285714,-3,7.59015474828731
"19",-2.09243697478992,-3,7.87241255799534
"20",-2.04201680672269,-3,6.17438256703372
"21",-1.99159663865546,-3,7.39310438143314
"22",-1.94117647058824,-3,7.05968176888513
"23",-1.89075630252101,-3,6.87052028837809
"24",-1.84033613445378,-3,6.48901647935188
"25",-1.78991596638655,-3,6.60442327311158
"26",-1.73949579831933,-3,6.50823761589178
"27",-1.6890756302521,-3,5.5326397662318
"28",-1.63865546218487,-3,5.18228624878073
"29",-1.58823529411765,-3,5.16375060514707
"30",-1.53781512605042,-3,4.11378208443866
"31",-1.48739495798319,-3,4.26263835950849
"32",-1.43697478991597,-3,4.069933544932
"33",-1.38655462184874,-3,4.41534389752174
"34",-1.33613445378151,-3,4.02911791761529
"35",-1.28571428571429,-3,3.88849340651736
"36",-1.23529411764706,-3,4.1610798859095
"37",-1.18487394957983,-3,3.49817805305698
"38",-1.13445378151261,-3,3.00738671991465
"39",-1.08403361344538,-3,2.84497263088525
"40",-1.03361344537815,-3,2.87299553533137
"41",-0.983193277310924,-3,2.76297124190746
"42",-0.932773109243697,-3,2.43136116979825
"43",-0.882352941176471,-3,2.4954411331538
"44",-0.831932773109244,-3,2.33633227334525
"45",-0.781512605042017,-3,1.91501271798229
"46",-0.73109243697479,-3,2.39881596103531
"47",-0.680672268907563,-3,2.42138197649432
"48",-0.630252100840336,-3,1.88812323023817
"49",-0.579831932773109,-3,1.86974354768571
"50",-0.529411764705882,-3,1.77593585734434
"51",-0.478991596638656,-3,1.65917899529363
"52",-0.428571428571428,-3,1.71144574715348
"53",-0.378151260504202,-3,1.68528758899221
"54",-0.327731092436975,-3,1.45068419640732
"55",-0.277310924369748,-3,1.35183369265818
"56",-0.226890756302521,-3,1.5194512149209
"57",-0.176470588235294,-3,1.21636054556968
"58",-0.126050420168067,-3,1.09582634391619
"59",-0.0756302521008401,-3,1.08004119056502
"60",-0.0252100840336134,-3,1.05326547239193
